dfg,9900901,10335,22,81
dga,9448466,9922,5,6
dgb,9907098,7598,26,58
dgc,9822152,9805,325,567
dgd,9881680,8303,222,314
dge,9888189,9475,45,113
dgf,9746846,9577,39,98
dgg,9257160,9600,124,212
eaa,9949741,8580,153,318
eab,9342507,9041,49,123
eac,9945265,7857,116,290
ead,9917825,8033,56,99
eae,9974684,8415,191,324
eaf,9964492,8385,153,281
eag,9985895,7327,101,134
eba,9838038,7765,25,53
ebb,9955101,7630,183,343
ebc,9340900,7627,5,6
ebd,9822913,8364,48,117
ebe,9856844,9745,59,133
ebf,9794684,8052,24,62
ebg,9677714,9235,62,91
eca,9995228,9582,125,219
ecb,9900929,8748,196,339
ecc,9703993,10322,142,265
ecd,9907423,10076,209,409
ece,9928885,10610,8,25
ecf,9969614,7594,184,333
ecg,9621547,7572,94,284
eda,9614926,8526,65,196
edb,9961788,7395,198,346
edc,9691086,7800,50,92
edd,9813162,8325,14,53
ede,9909780,8915,21,72
edf,9962623,9720,100,164
edg,9588376,8406,188,369
eea,9999186,9586,13,37
eeb,9947886,9478,78,199
eec,9950565,8631,103,299
eed,9975014,9566,159,298
eee,9961239,9477,91,286
eef,9925403,7610,5,8
eeg,9552936,8463,153,337
efa,9750367,9300,400,644
efb,9977387,9174,93,178
efc,9903947,10494,144,282
efd,9910121,9195,53,79
efe,9793543,8140,192,376
eff,9827071,10087,13,73
efg,9774649,10159,78,182
ega,9863300,8535,123,174
egb,9859498,9344,298,532
egc,9992465,7994,15,46
egd,9979660,8265,90,211
ege,9831294,9139,5,12
egf,9806636,9373,167,276
egg,9691272,7951,286,562
faa,9958493,7660,67,120
fab,9421493,9183,10,25
fac,9807387,9779,116,275
fad,9596401,8570,38,129
fae,9895130,8556,5,6
faf,9579178,8707,6,11
fag,9873702,7720,316,669
fba,9842215,8460,66,237
fbb,9714069,7733,91,157
fbc,9953647,9091,128,381
fbd,9889412,9536,12,36
fbe,9918134,8319,51,118
fbf,9701676,10025,202,288
fbg,9760102,9616,6,22
fca,9744906,7491,105,178
fcb,9639406,10331,12,44
fcc,9835425,8211,5,6
fcd,9761961,9087,184,307
fce,9991027,7981,221,357
fcf,9970164,10246,5,9
fcg,9870706,8108,241,346
fda,9944753,10604,39,123
fdb,9962231,8515,142,310
fdc,9917231,10543,73,148
fdd,9827277,10512,33,80
fde,9974387,8329,232,352
fdf,9401175,9261,46,107
fdg,9807653,8167,259,394
fea,9871459,9200,29,102
feb,9953229,9747,63,141
fec,9928057,9979,154,336
fed,9705301,8842,58,92
fee,9887414,7898,85,157
fef,9751384,9602,151,291
feg,9839946,12372,44,94
ffa,9946059,9244,215,370
ffb,9384636,7826,55,130
ffc,9615421,11605,214,297
ffd,9920168,8585,45,99
ffe,9563235,8729,99,192
fff,9751450,8345,22,57
ffg,9945868,10367,322,583
fga,9933457,7849,270,411
fgb,9992633,10105,68,107
fgc,9947833,9863,85,137
fgd,9890167,8694,28,130
fge,9758569,8929,134,207
fgf,9603883,8079,25,66
fgg,9940745,8136,89,150
gaa,9734043,8426,13,33
gab,9777495,9991,6,14
gac,9929144,8524,147,390
gad,9503480,6926,87,164
gae,9926009,8901,208,334
gaf,9970139,7876,63,105
gag,9804677,9239,77,191
gba,9869999,9508,225,335
gbb,9886162,8608,144,224
gbc,9857837,9322,117,197
gbd,9594713,10186,89,236
gbe,9574014,9818,131,205
gbf,9857409,8984,148,336
gbg,9983879,7326,143,246
gca,9970535,7335,140,222
gcb,9735787,9188,39,90
gcc,9923057,8930,8,34
gcd,9863544,8708,255,385
gce,9980671,8787,119,296
gcf,9937125,9451,95,176
gcg,9777271,8708,55,186
gda,9491375,9658,38,64
gdb,9969408,9010,142,241
gdc,8699733,9939,137,275
gdd,9914153,7850,148,219
gde,9776375,7190,219,362
gdf,9773579,8456,306,448
gdg,9996236,8123,100,185
gea,9824872,8238,71,126
geb,9997690,8810,11,29
gec,9965658,7617,46,80
ged,9878523,10457,19,67
gee,9962776,8897,174,344
gef,9834837,7885,139,275
geg,9977832,9333,24,42
gfa,9927362,9750,119,273
gfb,9811805,9384,110,214
gfc,9985499,8404,22,88
gfd,9976209,8899,24,48
gfe,9827002,9524,164,300
gff,9753896,7764,48,136
gfg,9641857,8646,108,173
gga,9543939,8185,73,182
ggb,9719473,8319,194,293
ggc,9838668,8945,116,354
ggd,9543653,9198,105,204
gge,9855492,8473,127,229
ggf,9952352,11423,55,272
ggg,9928190,9114,318,455
